y,x,m,objID,time
1,1,0,1,1
2,1,0,2,1
3,1,0,3,1
4,1,0,4,1
5,1,0,5,1
6,1,0,6,1
7,1,0,7,1
8,1,0,8,1
9,1,0,9,1
10,1,0,10,1
11,1,0,11,1
12,1,0,12,1
13,1,0,13,1
14,1,0,14,1
15,1,0,15,1
16,1,0,16,1
17,1,0,17,1
18,1,0,18,1
19,1,0,19,1
20,1,0,20,1
21,1,0,21,1
22,1,0,22,1
23,1,0,23,1
24,1,0,24,1
25,1,0,25,1
26,1,0,26,1
27,1,0,27,1
28,1,0,28,1
29,1,0,29,1
30,1,0,30,1
31,1,0,31,1
32,1,0,32,1
33,1,0,33,1
34,1,0,34,1
35,1,0,35,1
36,1,0,36,1
37,1,0,37,1
38,1,0,38,1
39,1,0,39,1
40,1,0,40,1
41,1,0,41,1
42,1,0,42,1
43,1,0,43,1
44,1,0,44,1
45,1,0,45,1
46,1,0,46,1
47,1,0,47,1
48,1,0,48,1
49,1,0,49,1
50,1,0,50,1
51,1,0,51,1
52,1,0,52,1
53,1,0,53,1
54,1,0,54,1
55,1,0,55,1
56,1,0,56,1
57,1,0,57,1
58,1,0,58,1
59,1,0,59,1
60,1,0,60,1
61,1,0,61,1
62,1,0,62,1
63,1,0,63,1
64,1,0,64,1
1,2,0,65,1
2,2,0,66,1
3,2,0,67,1
4,2,0,68,1
5,2,0,69,1
6,2,0,70,1
7,2,0,71,1
8,2,0,72,1
9,2,0,73,1
10,2,0,74,1
11,2,0,75,1
12,2,0,76,1
13,2,0,77,1
14,2,0,78,1
15,2,0,79,1
16,2,0,80,1
17,2,0,81,1
18,2,0,82,1
19,2,0,83,1
20,2,0,84,1
21,2,0,85,1
22,2,0,86,1
23,2,0,87,1
24,2,0,88,1
25,2,0,89,1
26,2,0,90,1
27,2,0,91,1
28,2,0,92,1
29,2,0,93,1
30,2,0,94,1
31,2,0,95,1
32,2,0,96,1
33,2,0,97,1
34,2,0,98,1
35,2,0,99,1
36,2,0,100,1
37,2,0,101,1
38,2,0,102,1
39,2,0,103,1
40,2,0,104,1
41,2,0,105,1
42,2,0,106,1
43,2,0,107,1
44,2,0,108,1
45,2,0,109,1
46,2,0,110,1
47,2,0,111,1
48,2,0,112,1
49,2,0,113,1
50,2,0,114,1
51,2,0,115,1
52,2,0,116,1
53,2,0,117,1
54,2,0,118,1
55,2,0,119,1
56,2,0,120,1
57,2,0,121,1
58,2,0,122,1
59,2,0,123,1
60,2,0,124,1
61,2,0,125,1
62,2,0,126,1
63,2,0,127,1
64,2,0,128,1
1,3,0,129,1
2,3,0,130,1
3,3,0,131,1
4,3,0,132,1
5,3,0,133,1
6,3,0,134,1
7,3,0,135,1
8,3,0,136,1
9,3,0,137,1
10,3,0,138,1
11,3,0,139,1
12,3,0,140,1
13,3,0,141,1
14,3,0,142,1
15,3,0,143,1
16,3,0,144,1
17,3,0,145,1
18,3,0,146,1
19,3,0,147,1
20,3,0,148,1
21,3,0,149,1
22,3,0,150,1
23,3,0,151,1
24,3,0,152,1
25,3,0,153,1
26,3,0,154,1
27,3,0,155,1
28,3,0,156,1
29,3,0,157,1
30,3,0,158,1
31,3,0,159,1
32,3,0,160,1
33,3,0,161,1
34,3,0,162,1
35,3,0,163,1
36,3,0,164,1
37,3,0,165,1
38,3,0,166,1
39,3,0,167,1
40,3,0,168,1
41,3,0,169,1
42,3,0,170,1
43,3,0,171,1
44,3,0,172,1
45,3,0,173,1
46,3,0,174,1
47,3,0,175,1
48,3,0,176,1
49,3,0,177,1
50,3,0,178,1
51,3,0,179,1
52,3,0,180,1
53,3,0,181,1
54,3,0,182,1
55,3,0,183,1
56,3,0,184,1
57,3,0,185,1
58,3,0,186,1
59,3,0,187,1
60,3,0,188,1
61,3,0,189,1
62,3,0,190,1
63,3,0,191,1
64,3,0,192,1
1,4,0,193,1
2,4,0,194,1
3,4,0,195,1
4,4,0,196,1
5,4,0,197,1
6,4,0,198,1
7,4,0,199,1
8,4,0,200,1
9,4,0,201,1
10,4,0,202,1
11,4,0,203,1
12,4,0,204,1
13,4,0,205,1
14,4,0,206,1
15,4,0,207,1
16,4,0,208,1
17,4,0,209,1
18,4,0,210,1
19,4,0,211,1
20,4,0,212,1
21,4,0,213,1
22,4,0,214,1
23,4,0,215,1
24,4,0,216,1
25,4,0,217,1
26,4,0,218,1
27,4,0,219,1
28,4,0,220,1
29,4,0,221,1
30,4,0,222,1
31,4,0,223,1
